,model,metric,precision,recall,f1-score,support,accuracy,data_approach
0,nb,0,0.0,0.0,0.0,4.0,0.625,fg_maj
1,nb,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,12.0,0.625,fg_maj
2,nb,accuracy,0.625,0.625,0.625,0.625,0.625,fg_maj
3,nb,macro avg,0.35714285714285715,0.4166666666666667,0.3846153846153846,16.0,0.625,fg_maj
4,nb,weighted avg,0.5357142857142857,0.625,0.5769230769230769,16.0,0.625,fg_maj
5,rf,0,0.5,0.5,0.5,4.0,0.75,fg_maj
6,rf,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,0.75,fg_maj
7,rf,accuracy,0.75,0.75,0.75,0.75,0.75,fg_maj
8,rf,macro avg,0.6666666666666667,0.6666666666666667,0.6666666666666667,16.0,0.75,fg_maj
9,rf,weighted avg,0.75,0.75,0.75,16.0,0.75,fg_maj
10,svm,0,0.0,0.0,0.0,4.0,0.75,fg_maj
11,svm,1,0.75,1.0,0.8571428571428571,12.0,0.75,fg_maj
12,svm,accuracy,0.75,0.75,0.75,0.75,0.75,fg_maj
13,svm,macro avg,0.375,0.5,0.42857142857142855,16.0,0.75,fg_maj
14,svm,weighted avg,0.5625,0.75,0.6428571428571428,16.0,0.75,fg_maj
15,xgb,0,0.5,0.25,0.3333333333333333,4.0,0.75,fg_maj
16,xgb,1,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,0.75,fg_maj
17,xgb,accuracy,0.75,0.75,0.75,0.75,0.75,fg_maj
18,xgb,macro avg,0.6428571428571428,0.5833333333333333,0.5897435897435898,16.0,0.75,fg_maj
19,xgb,weighted avg,0.7142857142857143,0.75,0.717948717948718,16.0,0.75,fg_maj
20,nb,0,0.6,0.75,0.6666666666666665,4.0,0.8125,fg_min
21,nb,1,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8125,fg_min
22,nb,accuracy,0.8125,0.8125,0.8125,0.8125,0.8125,fg_min
23,nb,macro avg,0.7545454545454545,0.7916666666666667,0.7681159420289854,16.0,0.8125,fg_min
24,nb,weighted avg,0.8318181818181818,0.8125,0.8188405797101449,16.0,0.8125,fg_min
25,rf,0,0.5,0.25,0.3333333333333333,4.0,0.75,fg_min
26,rf,1,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,0.75,fg_min
27,rf,accuracy,0.75,0.75,0.75,0.75,0.75,fg_min
28,rf,macro avg,0.6428571428571428,0.5833333333333333,0.5897435897435898,16.0,0.75,fg_min
29,rf,weighted avg,0.7142857142857143,0.75,0.717948717948718,16.0,0.75,fg_min
30,svm,0,0.0,0.0,0.0,4.0,0.75,fg_min
31,svm,1,0.75,1.0,0.8571428571428571,12.0,0.75,fg_min
32,svm,accuracy,0.75,0.75,0.75,0.75,0.75,fg_min
33,svm,macro avg,0.375,0.5,0.42857142857142855,16.0,0.75,fg_min
34,svm,weighted avg,0.5625,0.75,0.6428571428571428,16.0,0.75,fg_min
35,xgb,0,0.6666666666666666,0.5,0.5714285714285715,4.0,0.8125,fg_min
36,xgb,1,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0,0.8125,fg_min
37,xgb,accuracy,0.8125,0.8125,0.8125,0.8125,0.8125,fg_min
38,xgb,macro avg,0.7564102564102564,0.7083333333333333,0.7257142857142858,16.0,0.8125,fg_min
39,xgb,weighted avg,0.8012820512820512,0.8125,0.8028571428571428,16.0,0.8125,fg_min
40,nb,0,0.5,1.0,0.6666666666666666,4.0,0.75,macro
41,nb,1,1.0,0.6666666666666666,0.8,12.0,0.75,macro
42,nb,accuracy,0.75,0.75,0.75,0.75,0.75,macro
43,nb,macro avg,0.75,0.8333333333333333,0.7333333333333334,16.0,0.75,macro
44,nb,weighted avg,0.875,0.75,0.7666666666666667,16.0,0.75,macro
45,rf,0,0.5,0.5,0.5,4.0,0.75,macro
46,rf,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,0.75,macro
47,rf,accuracy,0.75,0.75,0.75,0.75,0.75,macro
48,rf,macro avg,0.6666666666666667,0.6666666666666667,0.6666666666666667,16.0,0.75,macro
49,rf,weighted avg,0.75,0.75,0.75,16.0,0.75,macro
50,svm,0,0.0,0.0,0.0,4.0,0.75,macro
51,svm,1,0.75,1.0,0.8571428571428571,12.0,0.75,macro
52,svm,accuracy,0.75,0.75,0.75,0.75,0.75,macro
53,svm,macro avg,0.375,0.5,0.42857142857142855,16.0,0.75,macro
54,svm,weighted avg,0.5625,0.75,0.6428571428571428,16.0,0.75,macro
55,xgb,0,0.0,0.0,0.0,4.0,0.625,macro
56,xgb,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,12.0,0.625,macro
57,xgb,accuracy,0.625,0.625,0.625,0.625,0.625,macro
58,xgb,macro avg,0.35714285714285715,0.4166666666666667,0.3846153846153846,16.0,0.625,macro
59,xgb,weighted avg,0.5357142857142857,0.625,0.5769230769230769,16.0,0.625,macro
